cat,coast_length,L,area,slope_average,pop_sum,delta_x,DEM_average,DEM_maximum,litho_median,Dtot_average,D1_average,D1_stddev,S1_n_average,S1_n_stddev,S1_alpha_average,S1_alpha_stddev,S1_k_average,S1_k_stddev,S2_n_average,S2_n_stddev,S2_alpha_average,S2_alpha_stddev,S2_k_average,S2_k_stddev,S3_log_perm_avg,S3_log_perm_std,S3_porosity_average,S1_WCsat_average,S1_WCsat_stddev,S1_WCres_average,S1_WCres_stddev,S2_WCsat_average,S2_WCsat_stddev,S2_WCres_average,S2_WCres_stddev,Dtot_stddev
18,16.85529,22321,180.737375,13.68062794,56975.6474,21532,367.5225611,1436,10,1.658878505,474.829932,191.4547023,13045.35047,111.5366901,151.1308411,19.18702059,48118.34112,10213.63797,16402.12617,369.9128945,838.8411215,60.33359746,17142.1028,3615.91888,-12.5045007,1.8,0.090180028,5109.457944,262.666388,410,0,4823.602804,262.5133485,1158.037383,687.554843,2.338321679
19,17.131314,13629,77.130642,12.57861502,41570.33014,13774,200.474139,687,10,3.873563218,419.6774194,205.2454686,13036.37931,96.76422838,158.2068966,19.97592685,52953.11494,10236.97512,16263.8046,201.7364754,820.908046,48.69719532,18980.27586,3596.357802,-12.59564258,1.8,0.093825703,5016.390805,152.7551836,410,0,4730.62069,152.851535,1171.37931,686.2980359,8.680543176
20,24.808803,4888,43.057758,4.734965632,28774.31916,7996.23,12.24137143,110,1,53.94230769,494.2647059,242.3555736,12935.07843,732.9611135,279.9019608,67.254639,214762.2157,52938.71562,15023.31373,1746.640591,720.9803922,148.5515016,108802.3333,82929.33445,-14,1.8,0.15,4629.352941,114.1745866,329.6078431,162.781711,4419.254902,130.4309363,897.8431373,761.0089117,28.15370823
21,10.642403,12111,71.441121,8.665382729,13779.25861,12094.851,100.4470217,330,10,8.819277108,382.2689076,97.36388452,12855.84337,121.7070829,106.1325301,22.52376046,39531.25301,6785.825567,16584.20482,175.5552814,821.3855422,65.71494325,14069.18072,2361.136694,-12.25136224,1.669758351,0.226793414,5315.26506,163.6448612,410,0,5029.493976,163.5721994,925.4216867,667.5495581,6.230791356
23,7.943256,11134,59.877764,5.390469285,117209.7082,11941.217,25.41785656,264,1,37.56944444,358.0412371,170.9261562,12996.88732,282.2726456,203.0704225,42.86708049,142219.7042,53209.18744,15692.12676,732.1467937,766.5070423,75.50335749,54901.76056,40834.90608,-13.47025856,1.8,0.128810342,4629.84507,113.6513879,398.4507042,67.83675283,4355.211268,119.3754776,1117.605634,704.6015052,19.05972075
24,78.386405,12538,308.292497,11.82118521,522232.0456,14375.62,135.2344054,735,10,11.84699454,328.6060606,125.1095535,13383.94809,471.0253784,192.2322404,49.11832651,93151.73497,61881.43962,16711.45628,717.0552806,898.215847,101.9125837,34134.12842,26716.86577,-12.62493628,1.8,0.094997451,5285.043716,423.0429234,407.7595628,30.22514973,5001.420765,417.5991987,1192.021858,686.7622297,16.13852531
25,26.896406,15832,244.810918,16.03215204,207402.7741,16396,469.6332091,1721,10,1.310580205,469.8214286,190.2488133,13181.75085,163.5631075,149.2354949,25.38446697,32737.31058,17094.45267,16853.96928,465.2788174,897.0716724,72.09847018,11699.31058,6060.433161,-12.50343547,1.8,0.090137419,5414.372014,322.1853835,410,0,5128.423208,321.8777751,1158.87372,687.4837344,1.621882361
26,48.334989,16164,290.430922,10.50459403,225393.1317,17689.838,202.1919746,1300,10,8.290697674,562.2198732,179.0541813,13075.30233,263.2584533,135.2296512,29.49935245,32200.75291,10605.47039,16759.01453,550.1743089,875.3023256,85.43371833,11586.39244,4923.889392,-12.69987315,1.8,0.097994926,5381.729651,300.6804389,408.8081395,22.07356472,5096.77907,298.1936179,1167.005814,688.2903829,31.70847084
27,7.866987,5390,22.128136,2.584446221,159721.9765,5739.559,10.19849023,27,1,50,194.1176471,242.9611158,13101.65217,104.3749965,221.5652174,27.74703445,163640.3043,36245.17797,15649.21739,217.2956224,746.4347826,46.01590093,58372.69565,13056.69918,-14,1.8,0.15,4503.086957,161.9342091,410,0,4217.478261,162.0957499,1010,684.1052551,0
29,33.631823,8618,62.907291,2.526760385,48310.84714,12354.409,6.977269164,36,1,118.1111111,269.8989899,248.4192243,12953.43636,613.3920225,250.3272727,73.10591433,231436.0364,134963.623,15167.92727,1599.663577,707.0545455,149.9085076,95937.14545,72442.40625,-14,1.8,0.15,4643.090909,130.1078256,350.3636364,144.5489994,4413.490909,174.6643402,977.6363636,753.5756308,96.81304371
31,7.128026,5970,37.958193,3.719809936,20946.71049,7952.833,8.845055801,53,1,83.37209302,214.1935484,213.0541987,13006.8125,493.6234925,235.84375,66.54467925,210345.1563,148292.4646,15491.6875,1377.004276,764.28125,144.6044679,82940.875,68776.86957,-14,1.8,0.15,4673.40625,202.3131637,371.5625,119.5070441,4424.125,219.3455821,932.1875,718.8477515,75.68079332
32,38.681242,12218,158.432031,2.51359351,324212.4903,14692.218,8.271869374,35,1,78.8,236.8846154,211.663526,12954.66463,438.0976096,212.304878,62.63038868,154243.6951,110255.7333,15522.5122,1199.55157,748.4756098,120.8217015,61335.15854,57950.8727,-14,1.8,0.15,4665.445122,131.2683554,380,106.7707825,4408.329268,153.7655449,1036.341463,725.0845404,71.25165147
33,12.983176,1667,11.487892,2.157556738,3159.042756,2783.774,8.076588338,20,1,62.8125,99.5,219.3279508,12839.54545,814.8183695,292.3636364,77.22608218,310848.2727,169679.0492,14614.72727,2046.827261,653.8181818,188.2178709,136832.9091,84669.46365,-14,1.8,0.15,4658.909091,258.5587517,298.1818182,182.5983263,4478.181818,289.6737407,925.4545455,803.6096252,49.62259912
34,14.465093,22278,121.206681,5.145742473,547786.5215,22487.024,159.2184104,1168,10,16.59310345,362.0304569,207.5697891,13550.34266,317.1274722,216.034965,48.87352202,139755.2587,101230.9301,16741.74825,769.090667,901.3146853,112.3343797,50051.6993,36858.42962,-12.86101875,1.8,0.10444075,5275.314685,529.3277491,410,0,4989.335664,529.193752,1143.426573,688.6320735,20.36003406
35,9.565944,8007,25.769628,2.741800756,70128.07313,8588.625,9.991194487,31,1,49.46875,204.5652174,235.1937825,13675.67742,324.0804746,318.7741935,48.57831036,358243.6452,195992.4238,16078.16129,580.8198375,822.3870968,112.6947568,130437.4839,70326.73429,-14,1.8,0.15,4763.419355,390.053493,410,0,4476.709677,389.3608653,1255.806452,672.1788078,2.957874818
36,6.904127,18595,107.129187,2.911612259,178921.3668,19438.823,10.50966737,51,1,49.96721311,339.9415205,163.6445194,13030.4188,183.4332706,191.9230769,53.03766664,137722.9658,113619.9785,15902.44444,199.5721254,797.3333333,48.19352015,48865.01709,40332.95315,-13.51737268,1.8,0.130694907,4690.384615,150.8291526,410,0,4404.948718,150.9576748,1188.461538,684.3058937,0.360655738
37,7.833649,2736,15.699077,2.079504597,27138.88529,2747.672,10.01684342,24,1,49.94444444,303.3333333,218.4626419,12933.33333,94.1352455,184.5555556,23.98430557,160879.0556,33154.00039,15607.33333,168.2706154,735.2222222,45.97409362,56827.77778,11900.93984,-14,1.8,0.15,4496.944444,121.0038898,410,0,4211.166667,121.1423634,1253.333333,672.7472697,0.229061424
38,17.080025,27511,109.611455,3.612427983,116231.7987,24496,53.30144097,386,10,30.94656489,332.0689655,139.7875065,13131.80153,253.2544332,196.4122137,40.33369781,154037.9008,52217.59174,15981.61832,383.6353918,794.4656489,69.90793266,54679.9084,18786.01596,-12.86791746,1.8,0.104716699,4764.160305,271.311455,410,0,4478.549618,271.1894134,1168.473282,686.5940646,45.319782
40,85.978378,12010,230.167244,15.18171965,40157.52934,12103.629,264.4995311,842,10,15.50561798,381.7914439,112.5031162,12864.78652,135.7295564,114.576779,26.52616375,61271.33333,25271.54079,16377.48689,269.2588712,787.329588,56.53711771,21840.74157,8891.634513,-12.45809825,1.749592868,0.145115965,5178.097378,217.0226474,410,0,4892.172285,216.8634089,1174.94382,685.9179425,58.44613198
41,13.009067,12958,72.770159,10.15741213,10162.19385,13151.151,187.0338093,569,100,16.41666667,381.1965812,83.44261955,12763.97619,126.2409805,118.4761905,25.43126881,71545.54762,24516.08297,16065.20238,175.5752979,761.0238095,42.21542716,25375.36905,8783.024124,-11.90822239,1.546301775,0.352162229,4925.559524,171.5766073,410,0,4640.02381,171.6275713,1149.285714,688.237545,60.03871932
42,6.674558,19862,45.872124,4.316982011,46854.67077,21452,154.9623083,916,10,22.96226415,406.6666667,47.23259335,13398.01887,124.9453451,224.2830189,43.94008672,172638.717,64213.34243,16307.69811,499.0314614,841.2641509,80.87123493,61457.07547,23060.71361,-12.99778024,1.8,0.10991121,4982.396226,355.5090074,410,0,4696.622642,355.7028772,1347.358491,644.1380109,66.61830511
43,19.479274,10332,132.462393,14.59801246,36670.01163,10402.376,238.6955431,1064,10,7.04516129,387.2685185,107.8769967,12944.8129,147.0711826,128.8967742,33.21623664,76762.39355,38033.61408,16369.05806,418.586288,792.0064516,71.58189506,27392.59355,13634.84025,-12.8989899,1.8,0.105959596,5154.03871,302.7508053,410,0,4867.935484,302.6843917,1148.967742,688.2602417,29.76625973
44,56.837491,11412,167.652395,11.76295361,33274.54416,9596.007,150.4167253,395,100,17.91836735,403.6162362,85.53836645,12879.15816,132.4900862,139.4846939,22.15079974,88750.29082,13832.96109,16040.89286,193.5950269,768.3928571,61.31629066,31720.27041,4972.108202,-11.99526372,1.583684453,0.313526065,4884.321429,145.3753893,410,0,4598.464286,145.432163,1043.673469,687.697115,63.19013638
45,134.378967,16146,362.558613,16.79503519,117887.1441,13962.022,272.3854369,973,10,6.869158879,375.8965517,141.816016,13018.58314,157.0320885,144.8173302,33.71264962,71443.66979,37337.29493,16355.26932,280.233267,808.6604215,72.10062837,30822.39578,118481.0696,-12.69966436,1.785023122,0.114860524,5116.309133,200.3558497,409.0398126,19.81804368,4835.826698,216.3568761,1142.669789,689.9261007,36.42046362
46,61.711115,19449,410.799078,8.61507219,55647.63011,21020.808,254.5826723,583,100,14.80497925,408.9237668,83.68766325,12782.8444,104.5000877,114.5373444,16.81827621,63076.08299,14599.34012,16152.1639,200.9110683,767.3962656,54.25732666,22352.44606,5164.104755,-12.06938922,1.615452525,0.280699058,5005.275934,147.7309311,410,0,4719.711618,147.6731905,1108.589212,689.9465381,57.35941985
47,23.080076,14475,165.487197,9.675659687,22487.83036,14413.673,139.0368134,393,100,5.659793814,409.7026022,60.04261833,12813.37629,86.525949,128.6030928,14.02472745,82580.32474,15600.95944,16027.88144,208.0421284,768.1391753,51.26529152,29347.65979,5519.322811,-12.12843965,1.64075985,0.254548155,4878.896907,145.350801,410,0,4593.190722,145.2918489,1078.659794,689.6699179,31.32943894
50,5.614804,6664,41.678329,2.657185214,146436.3956,8288.524,10.50236183,59,1,45.25,519.5652174,203.3803803,12985.07692,146.182821,181.9807692,30.44887922,101761.0769,26494.94439,15818.13462,168.680402,770.6538462,47.50217996,36292.65385,9659.273233,-13.98245614,1.8,0.149298246,4656.211538,116.059225,410,0,4370.730769,115.9398245,1126.538462,689.4894561,12.39707627
52,5.753761,7563,20.579539,2.057098139,22743.59035,8583,11.22355769,55,10,68.59090909,162.9411765,245.3392539,13183.72727,210.3726524,238.4090909,64.28746456,264850.7727,175796.2091,15706.22727,231.3975194,742.6363636,64.13731395,95655.54545,63733.68066,-13.11325188,1.8,0.114530075,4562.181818,167.4934561,410,0,4275.818182,168.0442681,1225.454545,678.4991946,75.56734449
53,25.280229,8150,118.177768,5.972688056,151492.3227,8351.288,67.32415571,366,10,17.22463768,433.59375,228.9106939,12846.26087,108.5799848,155.1956522,18.99613183,62829.62319,18250.03682,15926.95652,244.3338139,786.5652174,47.53243843,22178.28986,6440.173931,-13.11412329,1.8,0.114564931,4743.507246,176.0813895,410,0,4458.086957,175.9523766,1220,679.4850992,18.76012504
54,12.395947,11332,67.935747,2.907781761,112499.1097,12054.536,10.23876932,35,1,57.45121951,376.6055046,254.984152,13042.63415,84.63357349,192.402439,24.84677913,128043.878,22133.06368,15817.02439,175.7070716,769.3780488,48.06592024,45161.58537,8065.845662,-14,1.8,0.15,4645.682927,141.1583506,410,0,4360.280488,141.1819682,1167.317073,686.7083891,38.49901882
55,11.648886,5507,38.069951,4.516029355,51447.8374,6190.086,32.78176653,124,10,18.6744186,425.9677419,228.6034719,12842.95349,106.5965996,151.7906977,19.2167056,59794.11628,13501.40911,15928.30233,182.3585192,775.1395349,43.04707072,21081.97674,4516.591499,-13.07544757,1.8,0.113017903,4769.674419,143.1911588,410,0,4484.72093,143.110841,1083.953488,689.8133874,19.60389251
57,11.582536,4578,24.964165,3.013403411,36442.75561,5080.348,11.98462145,37,1,55.96428571,280.9756098,190.5550926,13023.32143,323.0813756,211.6785714,45.98917075,216808.75,79009.81546,15481.96429,820.0262836,699,77.5080641,80464.89286,38816.25005,-14,1.8,0.15,4560.928571,154.6255682,395.3571429,76.08651762,4288.642857,173.4087274,937.5,689.8582929,58.20682468
58,9.396322,4980,23.027038,3.231559399,64792.81144,6307.207,17.63106383,49,1,33.62962963,283.3333333,191.1280056,13073.81481,78.51210666,225.037037,22.62001978,227842,59723.09453,15535.22222,133.0820781,728.7407407,38.09208394,80854.07407,21399.65272,-14,1.8,0.15,4407.296296,115.2311091,410,0,4121.555556,114.866858,1278.888889,666.407357,21.14876434
62,15.113179,16793,143.88963,3.0981926,367843.995,18190.266,19.69361992,257,1,44.36094675,426.0504202,224.7172583,12955.36095,212.9683837,182.556213,35.3891064,111647.213,29565.20286,15764.73373,182.3796842,767.5325444,47.09163112,39360.71598,10413.58653,-13.88128706,1.8,0.145251482,4603.751479,117.9621231,410,0,4318.455621,117.9365971,1087.751479,689.8912768,13.32768224
63,24.074521,19334,205.989321,3.881754037,309084.7919,18805.642,102.8350707,785,10,13.4338843,388.1081081,96.33070086,13126.47718,279.5619731,196.1369295,22.08550729,141919.0041,46106.21974,15987.6971,563.0909469,802.6307054,88.43700744,50319.52282,16514.06692,-12.73281198,1.8,0.099312479,4751.095436,387.3249079,410,0,4465.514523,386.888075,1137.219917,688.995412,24.21694664
64,17.537287,6402,39.864581,2.957465607,34625.19614,7930,24.93574594,75,10,19.55319149,276.40625,195.1391105,13004.84783,93.44772251,191.1086957,20.2980276,149491.9565,48586.77679,15765.76087,158.1660087,774.173913,43.61357205,53052.13043,17630.08601,-12.6581306,1.8,0.096325224,4585.891304,98.53188146,410,0,4299.956522,98.41989824,1340,646.9157596,12.08446957
66,30.250888,24109,130.569906,12.08494796,63025.08568,24403,267.5480349,1076,10,1.769736842,376.9230769,134.6153846,13038.5,116.0151419,148.2105263,23.14787463,33338.44737,21775.94297,16445.54605,421.921838,842.7828947,72.91865671,11842.96711,7540.827861,-12.41259148,1.762539205,0.128709488,5144.927632,287.7732363,410,0,4859.032895,287.4828008,1227.105263,678.1918992,1.718591815
67,22.056817,10181,145.622837,3.883134072,433113.8696,11017.23,41.58721597,245,1,61.05232558,373.4177215,274.8726721,13060.23026,223.0129059,208.2236842,43.51242977,146157.1908,104000.7211,15743.42105,548.5237548,768.9802632,68.90663691,52954.68421,41503.90266,-13.98715801,1.8,0.14948632,4619.019737,143.3477769,404.6052632,46.71979152,4338.401316,149.1733476,1121.842105,696.6200553,85.64171341
68,9.42811,5437,20.64998,2.212857745,16787.45195,6280.752,7.00616991,25,1,152.5,48.4375,102.3813147,13081.5,390.3864926,249.5,64.29530592,333659.4545,136612.5355,15370.5,929.3098979,708.1363636,96.56147145,123906.5,55236.90671,-14,1.8,0.15,4442.909091,223.2053496,391.3636364,85.40254704,4174.727273,248.8360508,1018.636364,709.1114508,102.5
69,32.539073,18725,247.233194,3.708929987,210159.9206,22938.567,43.95510528,734,1,67.14982578,172.1695761,177.6208273,12974.588,368.7125523,208.088,68.58215698,171472.368,148186.363,15686.796,958.4227514,762.708,108.7300084,63085.276,58931.78635,-13.4,1.8,0.126,4683.328,244.9319179,393.6,80.34326356,4415.052,260.7798637,1127.76,710.4121215,83.20430666
70,31.139096,17277,184.579789,6.90473728,172944.0419,17562.719,85.8513132,685,10,34.39726027,243.2885906,210.3845726,12836.03398,261.1781258,140.0582524,33.78525135,56966.56796,68342.89119,16199.23301,790.5530472,818.2475728,114.3535306,18629.24272,18703.34555,-12.56325599,1.8,0.09253024,5050.31068,191.3349388,402.038835,56.57470743,4776.694175,204.5836375,1125.533981,699.7846106,66.16240011
71,12.08241,7083,42.971322,3.328679995,61768.68934,7760.763,15.84834664,63,1,37.53846154,351,100.144895,13059.7451,108.5631366,216.0392157,24.150639,185233.0588,25557.88047,15635.39216,139.5773843,757.0392157,43.15315215,65927.05882,9123.936823,-14,1.8,0.15,4473.156863,90.88483826,410,0,4187.568627,90.84035876,1221.764706,679.1710804,10.81569646
72,10.02764,14512,91.503207,3.364320857,84066.57995,15417.97,21.50573112,104,1,57.25714286,314.0268456,140.1050395,12769.48077,398.8034261,191.9807692,64.53755329,159738.4231,74667.6857,15301.23077,1002.054056,717.7403846,97.97252315,61671.92308,46250.01251,-13.58908281,1.743965837,0.196695136,4434.826923,112.1735813,386.3461538,95.59588111,4171.75,167.4186226,1129.423077,719.4266239,57.94973661
73,23.118935,2109,26.890016,3.145973138,2791.812475,3679.901,11.67476085,40,1,195.483871,244.1860465,287.7760156,12554.94444,830.2304548,286.8333333,89.52234358,243270.8333,139008.1188,14154.55556,2266.734196,623.8888889,208.0491098,122142.0556,94174.22699,-13.96511628,1.8,0.148604651,4694.944444,86.70029618,250.5555556,199.8741888,4559.333333,119.7794269,633.8888889,737.7302947,93.05179653
74,21.370506,9602,86.637861,4.640777133,779060.0167,13321.993,39.52243044,266,1,33.4,365.035461,186.5613588,12898.85,167.0192429,180.8,32.28343228,112585.97,33071.89941,15635.77,186.4552415,747.96,51.89719068,39791.09,11801.28476,-13.29816247,1.709388493,0.224015463,4505.83,119.4985402,410,0,4220.53,119.487778,1113.8,689.8619862,20.35681704
75,69.06726,24563,468.476473,6.997725496,599691.4107,25174.569,128.9676777,1373,10,17.875,471.6402116,255.3692371,12956.86703,393.1246999,136.1876138,24.93889347,49343.27687,36231.18935,16483.58834,766.851965,855.154827,102.4435678,16748.36612,7448.323398,-12.5,1.8,0.09,5193.145719,368.4449336,406.2659381,38.94896883,4913.28051,369.4928262,1125.173042,694.3704262,35.31823171
76,39.531716,11453,70.893657,2.671236488,16302.32895,13885.744,10.32846411,31,10,142.25,246.5217391,252.7003501,12743.09615,408.551393,150.3461538,63.35761888,96419.88462,109393.1618,15796.65385,1347.908235,768.1923077,151.0673612,36223.5,47815.02341,-12.5,1.8,0.09,4953.826923,149.2738476,378.4615385,109.2524356,4697.807692,153.9170654,1254.230769,713.2788487,101.9862123
77,40.240938,6843,96.906316,3.809417004,104703.5716,6573.388,13.95456389,179,1,47.74336283,244.9689441,238.5544568,13196.39823,95.1234447,203.0265487,20.51481665,114266.0796,25777.06011,16110.76106,150.621619,826.5752212,39.98668037,40423.19469,9127.537885,-14,1.8,0.15,4837.115044,110.361975,410,0,4551.831858,110.282012,1179.380531,685.418654,20.49423781
78,7.80485,5265,28.041883,3.359740029,18079.14314,5444.374,13.05621926,92,1,41.57575758,194.4680851,231.3954753,13186.71875,96.47805268,196.9375,17.46055823,91539,10649.51924,16191.75,167.9691192,845.53125,41.15290419,31921.875,3517.472448,-14,1.8,0.15,4892.28125,120.2786438,410,0,4607.15625,120.2936795,1401.875,620.4607033,7.459101835
79,24.725975,5672,58.365479,3.454768795,29960.85644,6354.304,12.52597841,44,1,50,270.6382979,150.2537464,12857.76471,280.6576372,114.1323529,33.91854621,56936.51471,15909.30722,16191,494.720004,726.3382353,133.9109241,20116.52941,5654.158297,-14,1.8,0.15,5117.058824,289.6750655,410,0,4831.691176,289.8767617,1242.058824,675.2179579,0
80,12.564016,11471,50.180032,4.469777165,8473.141732,12753,12.80705882,146,1,49.50877193,195.8024691,209.2423971,13052.77193,163.0664505,175.9473684,50.8508038,176213.4035,144556.2894,15863.10526,342.2224415,726.5964912,97.15458105,62869.24561,51778.62419,-14,1.8,0.15,4767.385965,260.5840777,410,0,4481.824561,261.0946002,1257.368421,671.8148406,2.636603391
81,81.552403,20447,529.302963,9.066903083,312743.8274,20532.403,135.6077702,681,1,16.01134522,378.147714,98.17964125,13026.27229,172.6471479,144.5996759,31.14513836,53270.23501,40562.65776,16413.85737,304.28771,832.082658,71.31075174,18927.93517,14171.19433,-13.28095475,1.752039128,0.175274106,5139.418152,205.5738307,410,0,4853.628849,205.4910394,1206.23987,681.772022,22.34817026
82,46.067739,10113,155.051573,6.781066653,30554.04861,13238.686,54.13943493,261,100,18.27322404,332.9880478,155.2925393,12716.34426,136.2992391,86.53005464,21.22808541,38936.99454,43326.08282,16544.55191,326.4790745,787.1311475,90.55532537,13945.62295,15594.73353,-12.16363935,1.635458472,0.261929028,5344.994536,238.1126265,410,0,5058.912568,238.1637931,1058.52459,688.7523433,10.36501545
83,21.916278,7588,71.96923,13.27135183,21716.51028,7573.757,171.9144224,454,10,1.55952381,311.8103448,161.3926415,12886.52439,168.0814426,99.81707317,25.44009129,37437.9878,9827.660952,16777.39024,245.5249605,824.0731707,81.09882266,13384.5,3582.639316,-12.34696827,1.68493537,0.213518214,5492.353659,185.6344015,410,0,5206.5,185.965985,1116.829268,689.7947345,1.050523571
84,30.813839,2023,37.916227,3.2255648,40285.76278,2171.971,15.54911181,112,1,33.62790698,214.3333333,254.0496452,13113.27907,119.874804,161.7674419,34.81368163,78161.09302,14189.93337,16340.74419,220.6432555,819.4418605,55.84875853,27472.53488,5034.975436,-13.89347387,1.799327203,0.146496972,5078.651163,205.8231216,410,0,4793.511628,205.5591775,1116.046512,689.8133874,11.87144954
85,54.650678,13463,178.327384,5.003173112,502650.7501,13425.565,31.58383761,345,1,34.71291866,355.3003534,176.4695939,13091.41148,135.064199,168.6698565,30.57144899,72146.52632,28308.85304,16281.79426,258.6938683,837.7177033,51.6077562,25432.27751,10028.31655,-13.51064335,1.8,0.130425734,4999.464115,195.3307339,410,0,4714.124402,195.3072511,1228.755981,677.8804448,19.35895811
86,16.847568,11112,29.393028,3.677780592,43544.1139,11230.072,12.73589316,46,1,42.44117647,300.4166667,157.8891797,12942.70588,265.1231156,133.5588235,43.57629629,55739.82353,12108.53315,16318.5,290.5436335,785.8235294,119.9030173,19681.91176,4341.41208,-13.73371758,1.8,0.139348703,5142.588235,218.849951,410,0,4857.088235,218.963248,937.6470588,670.6277078,9.143275177
87,16.862998,8257,73.108461,2.888837619,116872.6311,31116,13.1182233,195,1,50.21176471,331.512605,145.905683,12948.70588,105.6814106,186.2941176,24.1562675,148343.2118,20901.83672,15597.58824,182.7578465,728.9529412,41.48476854,52268.96471,7255.219693,-14,1.8,0.15,4493.882353,143.2663018,410,0,4208.611765,143.1305528,1091.882353,689.9522475,24.14616965
88,26.83394,11993,66.143278,8.702604318,100782.2008,12096.314,90.76798454,493,1,31.30769231,264.0740741,142.9972613,12896.88462,160.3740004,171.1025641,40.87177879,122420.7564,45299.7627,15613.28205,289.7652851,716.474359,45.28704019,43540.33333,16080.81506,-13.34176429,1.716245589,0.218033874,4530.705128,279.6933352,410,0,4244.948718,279.7734384,1223.846154,678.7946156,49.67569382
89,98.016767,14368,245.599326,15.9765221,21321.74129,17479.876,222.7195141,954,10,7.178321678,254.8635236,123.8251739,12899.25614,166.4758378,137.8070175,32.15229036,66487.51579,33296.79443,16112.47018,344.0008823,769.3052632,70.29987003,31675.3193,144613.4201,-12.66810262,1.772162082,0.128088159,4944.929825,263.4211663,408.5614035,24.243659,4667.242105,286.5142248,1202.666667,684.2036563,36.47577535
90,41.500977,13815,111.940593,10.9143433,39236.83957,14225.776,74.03210568,607,10,11.8828125,253.715847,84.07884746,12792.86719,154.8219426,130.734375,24.9720107,68824.125,20906.01302,15985.53906,299.589091,767.671875,53.26776543,24373.3125,7360.590101,-12.91147348,1.762043222,0.149223576,4835.679688,242.0430273,410,0,4550.070313,241.9150866,1110.78125,689.9157663,44.55151882
91,160.639415,48145,671.573429,9.236963018,172190.7658,48413.967,112.3743732,378,100,14.38209332,215.2289377,81.13234093,12747.62421,194.5199932,123.3846154,35.59148368,85726.08071,40101.41847,15910.02396,249.3528637,732.334174,65.32277453,30439.95082,14205.6905,-12.55419949,1.620907357,0.29394569,4819.674653,197.3597929,410,0,4534.056747,197.32971,1121.752837,689.6570264,54.82413964
92,12.066273,10238,50.192866,4.309664377,41029.1407,11368.326,21.98794243,88,1,6.423728814,218.5882353,101.287627,13231.62069,151.7095487,221.4827586,40.24075879,177370.5172,106390.847,16006.67241,217.0856646,798.3965517,50.52139856,62599.63793,37425.61935,-14,1.8,0.15,4787.293103,143.1700229,410,0,4501.655172,143.1269694,1004.827586,683.4048666,14.67293529
93,8.225936,8110,33.218471,4.610432058,26962.20679,8552.351,30.99616632,192,1,1.125,187.6363636,99.12276385,13229.875,152.0131882,220.25,26.63526797,182350.975,71778.15643,16002.05,214.0317675,803.025,45.2749862,65001.15,25893.25062,-14,1.8,0.15,4768.7,167.3396546,410,0,4482.525,167.3417144,1272.5,668.0896272,0.45757513
94,5.326761,19464,56.847598,6.035476696,65128.6288,20465,120.3946235,349,1,1.808823529,229.2134831,49.72338584,13718.52941,374.6198257,268.1617647,48.45938575,204711.1029,44838.68961,16620.16176,479.3516949,902.4558824,98.06321998,74599.72059,17192.11536,-14,1.8,0.15,5169.602941,290.1798702,410,0,4883.132353,289.7563329,1201.470588,682.4981463,0.600425167
