"Date","CoCa.1","CoCa.2","CoCa.3","CoCa.4","CoCa.5","CoCa.6","CoCa.7","CoCa.11","CoCa.12","CoCa.13","CoCa.14","CoCa.16","CoCa.17","CoCa.18","CoCa.19","CoCa.20","CoCa.21","CoCa.23","CoCa.24","CoCa.25","CoCa.26","CoCa.27","CoCa.29","CoCa.31","CoCa.32","CoCa.33","CoCa.34","CoCa.35","CoCa.36","CoCa.37","CoCa.38","CoCa.40","CoCa.41","CoCa.42","CoCa.43","CoCa.44","CoCa.45","CoCa.46","CoCa.47","CoCa.50","CoCa.52","CoCa.53","CoCa.54","CoCa.55","CoCa.57","CoCa.58","CoCa.62","CoCa.63","CoCa.64","CoCa.66","CoCa.67","CoCa.68","CoCa.69","CoCa.70","CoCa.71","CoCa.72","CoCa.73","CoCa.74","CoCa.75","CoCa.76","CoCa.77","CoCa.78","CoCa.79","CoCa.80","CoCa.81","CoCa.82","CoCa.83","CoCa.84","CoCa.85","CoCa.86","CoCa.87","CoCa.88","CoCa.89","CoCa.90","CoCa.91","CoCa.92","CoCa.93","CoCa.94","CoCa.95","CoCa.96","CoCa.97","CoCa.98","CoCa.99","CoCa.100","CoCa.101","CoCa.104","CoCa.106","CoCa.107","CoCa.108","CoCa.109","CoCa.110","CoCa.111","CoCa.112","CoCa.113","CoCa.114","CoCa.115","CoCa.116","CoCa.117","CoCa.118","CoCa.119","CoCa.120","CoCa.122","CoCa.123","CoCa.124","CoCa.127","CoCa.128","CoCa.130","CoCa.131","CoCa.133","CoCa.134","CoCa.135","CoCa.136","CoCa.137","CoCa.138","CoCa.139","CoCa.140","CoCa.141","CoCa.143","CoCa.144","CoCa.145","CoCa.146","CoCa.153","CoCa.154","CoCa.156","CoCa.158","CoCa.159","CoCa.160","CoCa.161","CoCa.162","CoCa.163","CoCa.164","CoCa.165","CoCa.166"
2000-02-28,9.582306,11.46517,1.168847,1.168847,0.9075601,0.9075601,11.1017,0.27,2.097772,2.097772,0.06730412,3.138953,2.713637,1.026233,2.097772,0,0.06730412,5.228995,5.04,1.317185,1.71,3.846627,3.846627,0,0,0,0,3.138152,9.112888,1.435424,0.9752189,3.284396,0,0.9752189,2.957376,0.8719288,6.289726,1.909185,3.769907,5.937316,2.835651,29.68919,39.39688,29.68919,9.385549,9.385549,4.560318,1.566711,7.382807,0,41.22,39.39688,7.080008,11.0822,13.35415,13.35415,32.13,41.22,4.326784,32.13,0,3.627107,3.924607,3.924607,4.165167,0,0,0,2.71486,3.924607,1.435424,0,0,0,0,0,0,0,0,0,0,0,0,1.167488,0.4551338,11.46517,9.180275,18.60732,6.765012,8.882349,2.401573,4.523381,0.8840839,2.401573,0.7047139,0.7047139,3.138953,0.7047139,3.138953,3.138953,5.937316,0,0,0,0,0,0,0,0,1.394872,4.560318,0,1.390929,0,0,0,2.835651,0,3.326749,0.7475722,0.7475722,0,0,9.859727,7.240401,1.339626,1.339626,7.240401,0,9.385549,9.492386,0,1.394872
2000-02-29,16.36686,0.7968072,9.006997,9.006997,4.019195,4.019195,18.1006,15.84,0.1545727,0.1545727,0.5159982,3.977811,2.59029,0.7159765,0.1545727,2.9896,0.5159982,7.759154,7.02,0.3658848,20.07,28.34797,28.34797,5.697849,5.697849,1.817334,1.817334,6.630611,7.375083,19.6038,19.64886,6.660025,11.51182,19.64886,10.56205,1.819677,3.561652,6.801474,4.308466,37.55998,0.145418,34.03761,11.71884,34.03761,18.15079,18.15079,27.1699,54.83489,16.29538,0,8.190001,11.71884,12.14707,1.239004,7.178822,7.178822,28.35,8.190001,77.95937,28.35,22.45627,18.6393,1.399472,1.399472,1.055176,0.125293,14.02333,14.02333,7.82726,1.399472,19.6038,0,5.930613,12.01911,10.9793,13.05368,13.05368,13.05368,13.05368,7.646241,1.690409,0,0,6.786021,7.542217,0.7968072,12.90888,19.82415,3.802233,25.10393,5.197926,1.466199,6.7983,5.197926,5.0374,5.0374,3.977811,5.0374,3.977811,3.977811,37.55998,9.752794,0,14.35562,14.35562,13.3647,11.64942,13.3647,10.54918,4.949545,27.1699,25.0763,23.86312,25.85676,25.85676,25.80469,0.145418,0,4.740617,10.21682,10.21682,0,9.752794,7.312934,15.34275,5.412091,5.412091,15.34275,10.91314,18.15079,15.95767,25.80469,4.949545
2000-03-01,0.6048675,0,0.4623124,0.4623124,0.5345212,0.5345212,0.8379763,4.419981,0,0,0,0.8936231,1.172464,0.125476,0,5.562505,0,3.869658,1.289671,0,0,13.67444,13.67444,15.38613,15.38613,10.81207,10.81207,3.748323,1.884265,16.10576,18.91774,1.977828,0,18.91774,11.30189,0.2204279,5.655643,0,1.104187,15.68934,7.200827,13.19871,12.24074,13.19871,70.00771,70.00771,12.60687,50.51163,0.5349642,0,11.60702,12.24074,3.08619,1.243475,2.491743,2.491743,0.717993,11.60702,1.688149,0.717993,0,0,1.927181,1.927181,0.1708069,0,0.1789154,0.1789154,0.3210616,1.927181,16.10576,20.30224,34.58452,18.08367,20.13436,68.2443,68.2443,68.2443,68.2443,37.28211,0.9156615,0.153378,0.153378,3.191101,0.2425604,0,5.154933,3.085541,0.5781699,3.416687,0.8462589,0.5908216,1.908179,0.8462589,1.260642,1.260642,0.8936231,1.260642,0.8936231,0.8936231,15.68934,2.284856,1.582516,4.692782,4.692782,8.685654,12.85884,8.685654,23.09769,10.71099,12.60687,0.05382411,0,0.5562574,0.5562574,0,7.200827,0.153378,0,1.24665,1.24665,1.582516,2.284856,1.736376,5.236992,33.78637,33.78637,5.236992,18.83497,70.00771,8.448574,0,10.71099
2000-03-02,1.693629,0,1.008682,1.008682,0,0,0,0.3973016,0,0,0,0,0,0,0,10.68587,0,0.8185815,0.6827669,0,5.536087,3.235173,3.235173,0,0,0,0,0,0,7.520324,0,36.56309,29.72069,0,32.05146,13.98143,13.57354,28.30655,18.62589,0.9519372,0,0,0,0,0,0,2.106901,0,0,0,0.2706299,0,7.043775,3.153097,0.8427953,0.8427953,0,0.2706299,8.440747,0,0,14.21207,0,0,0,0,13.16818,13.16818,0,0,7.520324,0.1037593,12.73751,71.32816,19.29391,0.4577361,0.4577361,0.4577361,0.4577361,0,0,0,0,0.2627965,0.5093769,0,0.1010771,0,0.289085,0,0.61842,3.971634,0.03600338,0.61842,0,0,0,0,0,0,0.9519372,0,8.53075,0.269258,0.269258,0.8194011,0,0.8194011,5.995019,2.070423,2.106901,8.90789,2.496368,0.8197477,0.8197477,1.978364,0,0,0.03981817,0.3952793,0.3952793,8.53075,0,0,0,0,0,0,0,0,0,1.978364,2.070423
2000-03-03,13.67,3.492517,34.54735,34.54735,41.65154,41.65154,6.85345,7.499068,1.07594,1.07594,1.908227,0,0,0,1.07594,46.62257,1.908227,65.63535,57.73172,0,29.35804,8.905064,8.905064,7.409241,7.409241,2.210871,2.210871,12.37654,4.405855,12.32946,43.92463,26.70068,31.45168,43.92463,15.6284,11.96609,25.12296,39.555,36.72876,2.926326,12.9401,1.558903,1.109912,1.558903,52.45774,52.45774,9.394707,53.34973,14.28669,0,2.555949,1.109912,8.350867,19.98442,5.679708,5.679708,0.685357,2.555949,9.284822,0.685357,0,4.429322,1.093805,1.093805,1.48846,0,0,0,0,1.093805,12.32946,14.90676,15.57684,1.744621,18.63616,17.4772,17.4772,17.4772,17.4772,7.848866,0.08720585,3.681073,3.681073,0,9.217298,3.492517,0.4716933,3.948166,0,0.294542,0,5.481512,0,0,0,0,0,0,0,0,2.926326,28.01955,52.66811,29.73377,29.73377,34.36022,57.11884,34.36022,38.9806,21.42198,9.394707,8.262001,7.211731,6.323769,6.323769,0.8432369,12.9401,3.681073,0,31.43991,31.43991,52.66811,28.01955,0,0,0,0,0,5.403906,52.45774,5.496662,0.8432369,21.42198
2000-03-04,2.742066,0,9.876675,9.876675,0.4111701,0.4111701,3.591327,1.042917,56.43561,56.43561,57.0687,2.932201,2.967051,16.62557,56.43561,27.40998,57.0687,0,2.0483,1.984421,0.3914405,19.97803,19.97803,13.38444,13.38444,3.210306,3.210306,8.911106,9.920102,0.3873129,0.9163281,4.062565,2.351527,0.9163281,0,32.24546,24.94436,8.436338,11.73925,30.42673,0,6.304898,5.803254,6.304898,3.650906,3.650906,39.61665,2.710536,0.1573424,0.1876446,11.24618,5.803254,2.723109,8.837553,2.23524,2.23524,10.44353,11.24618,0,10.44353,64.74882,42.66808,48.70038,48.70038,73.54457,69.2229,50.41837,50.41837,39.02682,48.70038,0.3873129,2.213532,13.1713,2.281427,2.740612,2.45513,2.45513,2.45513,2.45513,5.384687,1.351691,0,0,0,1.479619,0,0,3.649566,5.44814,11.1926,7.063007,5.547158,5.652531,7.063007,3.025542,3.025542,2.932201,3.025542,2.932201,2.932201,30.42673,31.98798,2.225413,67.35296,67.35296,45.39482,22.94699,45.39482,11.73051,16.42536,39.61665,28.15001,40.83566,43.56374,43.56374,81.72911,0,0,4.220726,8.088024,8.088024,2.225413,31.98798,0,0,0,0,0,0,3.650906,0,81.72911,16.42536
2000-03-05,0,9.993972,0,0,0,0,0,50.10966,1.767616,1.767616,0.8396196,11.53332,17.75445,3.011425,1.767616,0,0.8396196,0,0,4.090338,8.443931,0.1000569,0.1000569,1.344419,1.344419,2.392586,2.392586,0,0,7.778533,16.46435,7.670765,3.592611,16.46435,7.828916,0.5983044,2.917121,0.4326328,2.49895,23.37535,10.76559,6.997744,5.803253,6.997744,7.974347,7.974347,8.323986,13.68023,8.370617,0,1.744059,5.803253,0,0,0,0,1.794982,1.744059,2.186921,1.794982,2.331675,16.47453,4.114791,4.114791,5.514623,0.2083234,23.9031,23.9031,14.12671,4.114791,7.778533,22.06615,28.23548,5.401615,3.90994,8.239251,8.239251,8.239251,8.239251,9.628551,16.83073,12.34693,12.34693,0,1.455363,9.993972,3.436622,0.4644902,0.511458,0.0883626,8.722978,19.92382,2.412226,8.722978,4.601345,4.601345,11.53332,4.601345,11.53332,11.53332,23.37535,0,0,0,0,0,0,0,11.31528,7.67437,8.323986,9.311571,2.188175,8.431691,8.431691,9.081012,10.76559,12.34693,3.185453,0,0,0,0,5.891276,4.067026,14.78464,14.78464,4.067026,15.73953,7.974347,5.293082,9.081012,7.67437
2000-03-06,3.185635,0,6.094118,6.094118,1.069042,1.069042,0,11.57141,0,0,0,0.2234058,0.7656907,0,0,0,0,0,4.475916,2.065418,24.15747,2.334661,2.334661,0.3883876,0.3883876,0,0,1.025485,0,25.46582,23.76541,19.29719,18.81222,23.76541,30.99191,13.85547,16.57996,14.24598,12.37852,2.221187,0.7129532,3.810653,3.868836,3.810653,33.01828,33.01828,3.039464,15.68922,1.164334,3.096136,1.32308,3.868836,0.6535461,1.954032,0,0,0,1.32308,1.03591,0,0,1.402088,0.2083439,0.2083439,0.04880197,0,2.003853,2.003853,0.4637555,0.2083439,25.46582,27.59998,25.71164,31.23543,21.52294,12.56694,12.56694,12.56694,12.56694,0.6844941,6.584042,3.566039,3.566039,0,0.557889,0,0,2.322451,0,0,6.965362,13.52325,0.3240304,6.965362,0,0,0.2234058,0,0.2234058,0.2234058,2.221187,0,0,0,0,1.147162,0,1.147162,6.721688,9.579159,3.039464,5.059466,2.742923,3.220438,3.220438,0,0.7129532,3.566039,0,0,0,0,0,0,0,0,0,0,0,33.01828,0,0,9.579159
2000-03-07,0.2016225,0,1.891278,1.891278,0,0,0,6.505814,25.18212,25.18212,18.19176,17.64906,22.68358,22.39747,25.18212,0,18.19176,4.985906,20.17955,5.669775,11.01625,17.94354,17.94354,14.72886,14.72886,7.844049,7.844049,5.834653,1.24694,7.746257,4.847672,2.218375,4.245813,4.847672,4.444234,1.259588,0.08929961,6.798515,0.7845541,2.926326,1.06943,2.528888,4.693342,2.528888,0,0,10.63812,3.31642,0,6.989761,9.051067,4.693342,0.5083137,0,0.3664328,0.3664328,11.25944,9.051067,0.1151011,11.25944,16.75219,30.01742,26.40758,26.40758,19.00837,6.338984,37.14285,37.14285,31.46403,26.40758,7.746257,8.819542,14.19661,7.51529,3.654149,13.39919,13.39919,13.39919,13.39919,1.734052,3.357425,5.291542,5.291542,0,0.1697923,0,1.954158,1.360292,0.6448818,0,14.25621,14.0156,18.32572,14.25621,19.91815,19.91815,17.64906,19.91815,17.64906,17.64906,2.926326,0,0.8654383,0.1538617,0.1538617,0,0,0,2.154054,3.174649,10.63812,2.260613,0.4622904,2.459243,2.459243,8.043182,1.06943,5.291542,14.65309,0.304061,0.304061,0.8654383,0,0,0,0,0,0,0,0,0,8.043182,3.174649
2000-03-08,39.43736,2.122375,65.102,65.102,9.456913,9.456913,24.98965,23.78843,4.483083,4.483083,2.264429,9.410969,12.10748,6.430647,4.483083,0,2.264429,0,0.3793149,3.766351,0.1118401,12.47376,12.47376,26.91825,26.91825,36.64594,36.64594,49.96585,35.6902,12.39401,11.67579,9.194227,4.572414,11.67579,11.65508,0.1574485,1.220428,2.441285,0.4068059,18.96823,3.636061,19.85003,15.91931,19.85003,0,0,16.26804,0.8928825,8.93705,3.940536,14.19304,15.91931,1.379709,3.153097,0,0,8.191648,14.19304,0,8.191648,3.371961,1.465819,1.536536,1.536536,0.1952079,2.767726,0.823011,0.823011,2.497145,1.536536,12.39401,3.458644,0.7492656,9.12571,11.43749,4.244462,4.244462,4.244462,4.244462,8.442093,6.889262,5.943398,5.943398,0,1.16429,2.122375,8.861094,14.59826,0.222373,3.799592,8.722977,10.89738,8.460794,8.722977,8.288724,8.288724,9.410969,8.288724,9.410969,9.410969,18.96823,6.674184,0.2472681,6.539122,6.539122,3.769246,1.633996,3.769246,8.330742,6.735777,16.26804,3.713863,3.112756,3.074054,3.074054,3.243219,3.636061,5.943398,8.879452,8.057617,8.057617,0.2472681,6.674184,0,2.674209,0,0,2.674209,4.93172,0,0,3.243219,6.735777
